Spanish,English
entre sí,to each other
eslabonar,to link
la boca,mouth
el cuello,neck
abrigar,to keep warm
abrigar,to wrap up
estrecho,narrow
estrecho,tight
la bufanda,scarf
la pierna,leg
cubrir,to cover
llevar,to carry
ocupar,to occupy
ocupar,to spend
ocupar,to take
el amo de casa,househusband
el invierno,winter
vestir,to wear
el abrigo,coat
el entorno,environment
las instalaciones,installations
las instalaciones,facilities
ofrecer,to offer
agradable,agreeable
agradable,pleasant
agradable,nice
el contenedor,garbage can
el contenedor,container
la mentira,lie
el odio,hate
la manta,blanket
relajar,to calm
relajar,to relax
la cortina,curtain
el/la portátil,laptop
portátil,portable
la planta,plant
regresar,to come back
regresar,to return
esperar,to hope
esperar,to wait for
tampoco,neither
raro,rare
raro,strange
el suelo,ground
el daño,damage
el daño,hurt
ocasionar,to cause
los sanitarios,bathroom fittings
adecuado,appropriate
el precio,price
desplazar,to displace
sano,healthy
el anuncio,ad
el anuncio,announcement
peatonal,pedestrian
la farmacia,pharmacy
la estancia,stay
ubicar,to locate
la existencia,life
la existencia,existence
el alquiler,renting
la venta,sale
cierto,certain
cierto,true
la superficie,surface
hueco,hollow
el hueco,hole
encenderse,to turn on
el cilindro,cylinder
la vela,candle
turístico,tourist
el tenedor,fork
dramático,dramatic
el espectáculo,performance
el espectáculo,show
la representación,representation
el teatro,theater
el asiento,seat
secadora de ropa,dryer
el secador,hairdryer
desagradable,unpleasant
el ruido,noise
el campo,country
el campo,countryside
el campo,field
rural,rural
alisar,to smooth
la plancha,iron
peligroso,risky
peligroso,dangerous
parecerse,to look like
parecerse,to look alike
oscuro,dark
la obra,deed
la obra,work
el monumento,monument
el microondas,microwave
el cajón,drawer
la claridad,clarity
la claridad,light
el lujo,luxury
la abundancia,abundance
la abundancia,plenty
local,local
cerrado,closed
la máquina,machine
junto,nearby
el terreno,land
el interés,interest
digno,worthy
el inodoro,lavatory
calentar,to heat
asar,to grill
asar,to roast
el horno,oven
fuera,out
fuera,outside
la elaboración,making
la elaboración,manufacturing
la elaboración,production
la maquinaria,mechanism
la maquinaria,machinery
el establecimiento,setting-up
el establecimiento,establishment
la exposición,exhibition
la exposición,exposition
hallarse,to be
el espejo,mirror
enfrente,in front
enfrente,opposite
otro,another
al lado de,beside
al lado de,next to
lejos de,far from
debajo de,under
encima de,on top of
a la derecha de,on the right of
a la izquierda de,to the left of
detrás de,behind
delante de,in front of
la pared,wall
la almohada,pillow
la lámpara,light bulb
la lámpara,lamp
el servicio,restroom
el servicio,service
el comilón,big eater
comilón,greedy
dulce,sweet
gracioso,funny
descansar,to rest
deber,must
deber,to owe
la luna,moon
la basura,garbage
la basura,trash
el florero,florist
el florero,vase
la aspiradora,vacuum
el inodoro,toilet
el sillón,armchair
la lavadora,washing machine
el lavavajillas,dishwasher
el fregadero,sink
tallar,to sculpt
tallar,to carve
la escultura,sculpture
el dibujo,drawing
detrás,back
detrás,behind
opuesto,opposite
el derecho,law
derecho,right
el/la inferior,subordinate
inferior,bottom
inferior,lower
el puesto,place
el puesto,position
laminar,to laminate
la luz,light
aislar,to keep apart
aislar,to isolate
la cuelga,hanging
la tela,fabric
el corazón,core
el corazón,heart
el medioambiente,environment
alterar,to change
alterar,to alter
contaminar,to contaminate
contaminar,to pollute
la contaminación,contamination
la contaminación,pollution
comunitario,community
comunicado,connected
el comedor,dining room
la iglesia,church
la catedral,cathedral
atrás,at the back of
atrás,back
atrás,behind
inclinado,inclined
inclinado,sloping
el respaldo,back
el respaldo,support
el brazo,arm
la butaca,armchair
ruidoso,noisy
mover,to move
inquieto,anxious
inquieto,restless
bullicioso,busy
bullicioso,noisy
la zona,area
bello,lovely
bello,beautiful
bonito,pretty
pertenecer,to belong to
el barrio,neighborhood
el lavabo,sink
la pieza,piece
el baño,bathroom
el recipiente,container
el/la recipiente,recipient
la bañera,bathtub
descubierto,uncovered
descubierto,open-air
saliente,outgoing
la percha,hanger
el mueble,piece of furniture
alrededor de,about
alrededor de,around
el alojamiento,accommodations
lleno de,full of
alegre,cheerful
alegre,happy
activo,active
proceder,to come from
proceder,to proceed
así,like this
además,furthermore
además,besides
desinteresado,uninterested
desinteresado,unselfish
la rama,branch
encontrar,to find
las prácticas,internship
por la tarde,in the afternoon
por eso,that's why
importar,to be important
importar,to import
importar,to matter
introducirse,to enter
introducirse,to get into
bienvenido,welcome
el pupitre,desk
pensar,to plan
pensar,to think
hasta,up to
hasta,even
hasta,until
el correo,mail
el contraste,contrast
facilitar,to facilitate
facilitar,to provide
la pertenencia,property
la pertenencia,belonging
la pertenencia,membership
la posesión,possession
luego,later
luego,then
la carta,letter
la carta,menu
la costura,sewing
opinar,to believe
opinar,to think
creer,to believe
creer,to think
preciso,accurate
preciso,precise
puntual,punctual
el universitario,university student
la sed,thirst
el sueño,dream
el sueño,sleepy
las ganas,desire
alto,high
alto,tall
la baja,drop
tener frío,to be cold
tener calor,to be hot
el sentimiento,feeling
experimentar,to experience
experimentar,to experiment
poseer,to have
poseer,to own
antes de,before
antes,before
temprano,early
la costumbre,custom
la costumbre,habit
la rutina,routine
por,because of
por,by
el edificio,building
la vivienda,housing
la vivienda,house
el piso,apartment
el piso,floor
construir,to build
construir,to construct
la piscina,swimming pool
transcurrir,to pass
pasar,to happen
pasar,to pass
común,common
común,mutual
la vida,life
iniciar,to begin
casarse,to marry
casarse,to get married
la intención,intention
la intención,motive
amoroso,loving
la relación,connection
la relación,relationship
mantener,to maintain
mantener,to hold
el novio,boyfriend
alcanzar,to reach
la lengua materna,mother tongue
igual,equal
la pantalla,screen
el día a día,daily routine
día a día,day by day
encima,above
encima,on
encima,on top
caer,to fall
el alimento,food
terrestre,land
dominar,to dominate
dentro,in
dentro,inside
afuera,out
afuera,outside
hacia,toward
tirar,to throw
tirar,to throw away
cerrar,to close
el contrario,opponent
contrario,opposite
abrir,to open
el pegamento,glue
la natación,swimming
la literatura,literature
ninguno,no one
gracias a Dios,thank goodness
oler,to smell
el olor,smell
correspondiente,own
correspondiente,respective
extremo,extreme
extremo,far
la isla,island
la extensión,area
la extensión,extension
la frontera,frontier
la frontera,border
después,then
después,after
después,later
el habitante,resident
el habitante,inhabitant
el sur,south
la sanidad,health
la sanidad,public health
concreto,specific
concreto,concrete
bilingüe,bilingual
la población,population
la moto,motorcycle
el aroma,aroma
el aroma,scent
el sistema,method
el sistema,system
el armario,closet
el armario,wardrobe
el dolor,pain
el dolor,sorrow
la razón,reason
el ordenador,computer
el oso,bear
la habitación,room
la habitación,bedroom
por cierto,by the way
el árbol,tree
pues,then
pues,well
publicar,to publish
recibido,qualified
el sentido,meaning
el sentido,sense
ejercer,to practice
el aumento,increase
vender,to sell
el escritor,author
el escritor,writer
llegar,to arrive
la nacionalidad,nationality
junto,together
nominado,nominated
el éxito,success
mundialmente,worldwide
conocido,famous
mejor,better
desde,from
desde,since
el equipo,team
jugar,to play
por último,finally
último,last
el retirado,retired person
las letras,arts
exterior,external
exterior,outside
interpretar,to interpret
interpretar,to perform
la novela,novel
la opción,right
la opción,option
los datos,data
coincidir,to agree
coincidir,to match
coincidir,to coincide
la papelería,stationery store
la empresa,company
la comisaría,police station
el ayuntamiento,city hall
el ayuntamiento,city council
la multinacional,multinational company
multinacional,multinational
la peluquería,hairdressing
dedicar,to dedicate
el abogado,attorney
el abogado,lawyer
el enfermero,nurse
la guerra,war
borrar,to delete
borrar,to erase
aunque,although
aunque,even though
guapo,handsome
haber,to have
ya,now
ya,already
servir,to serve
concordar,to agree
concordar,to reconcile
la roca,rock
el/la mar,sea
la regla,ruler
el sacapuntas,pencil sharpener
morado,purple
el problema,problem
el tema,subject
el tema,topic
el coche,car
anterior,previous
el cuadro,square
subrayar,to emphasize
subrayar,to underline
el cuaderno,notebook
relacionado,related
vuestra,yours
vuestra,your
comparar,to compare
comparar,to make a comparison
la comunidad,community
la concordancia,concord
la concordancia,agreement
determinado,certain
determinado,determined
el recurso,resource
los recursos,means
la adquisición,purchase
la adquisición,acquisition
la papelera,wastepaper basket
el cartel,poster
la esmeralda,emerald
la fresca,cool
la fresca,fresh air
la hierba,grass
la hierba,herb
la aflicción,affliction
la aflicción,grief
la tristeza,sadness
la paz,peace
el estado,condition
el estado,state
la tranquilidad,calm
la tranquilidad,peace
la enseñanza,education
el cambio,change
la preferencia,priority
mostrar,to display
mostrar,to show
conceder,to give
preferir,to prefer
la seguridad,security
la seguridad,safety
encargado,responsible
encargado,in charge
el encargado,manager
la policía,police
el pelo,hair
el peluquero,barber
el peluquero,hair stylist
el peluquero,hairdresser
la causa,cause
el nacimiento,birth
el principio,start
el principio,beginning
el peligro,danger
el peligro,hazard
la presencia,presence
la angustia,anxiety
la angustia,distress
alerta,alert
el miedo,fear
la inferioridad,inferiority
la disminución,reduction
la disminución,decrease
la falta,absence
la falta,lack
menos,fewer
menos,less
la superioridad,superiority
la preferencia,preference
más,more
más,most
el jardinero,gardener
la ilusión,illusion
la ilusión,hope
el cuerpo,body
demasiado,too much
demasiado,too
exigir,to demand
psíquico,mental
psíquico,psychological
la física,physics
el estrés,stress
desear,to wish
desear,to want
lograr,to be able to
lograr,to reach
ocurrir,to happen
la confianza,confidence
la confianza,trust
la esperanza,hope
el castellano,Spanish
donde,where
el dependiente,salesperson
el dependiente,salesclerk
la atención,attention
el empleado,employee
de dónde,from where
cuánto,how many
cuánto,how much
la cantidad,number
la cantidad,quantity
varios,several
entre,among
entre,between
cual,which
la vía,road
la vía,route
la nube,cloud
la amistad,friendship
el limón,lemon
la felicidad,happiness
la alegría,happiness
la alegría,joy
adónde,where
cualquier,any
significar,to mean
a través de,through
el caso,case
el lugar,place
distinguir,to tell the difference
distinguir,to distinguish
incluir,to contain
incluir,to include
como,since
como,like
demás,other
demás,the rest
designar,to designate
designar,to fix
designar,to appoint
seguir,to follow
la vista,sight
la vista,view
interrumpir,to suspend
interrumpir,to interrupt
sentir,to feel
el conjunto,collection
por supuesto,of course
el mediodía,midday
el mediodía,noon
reunir,to gather
juntar,to collect
juntar,to put together
unir,to join
la profesión,occupation
la profesión,profession
trabajar,to work
el oído,ear
el oído,hearing
producir,to produce
el órgano,organ
la sensación,feeling
la sensación,sensation
aplicar,to apply
terminar,to end
terminar,to finish
indicar,to show
indicar,to indicate
la marca,mark
dedicarse,to work as
dedicarse,to do for a living
dar,to give
hecho,made
el hecho,fact
la presentación,introduction
la presentación,presentation
la petición,petition
la petición,request
conjunto,joint
ordenar,to arrange
ordenar,to order
llamarse,to be called
el discurso,speech
cortar,to cut
la seriedad,seriousness
la informática,information technology
la informática,computing
siguiente,following
siguiente,next
educar,to bring up
educar,to educate
serio,serious
el pensamiento,thought
los sentimientos,feelings
mediante,by means of
mediante,through
mediante,with
el gesto,expression
el gesto,gesture
lentamente,slowly
separado,separated
completar,to complete
escrito,written
el espacio,space
la columna,column
asistir,to attend
conveniente,advisable
conveniente,convenient
bien,OK
el bien,good
bien,well
semejante,similar
extranjero,foreign
el extranjero,foreigner
paciente,patient
el/la masajista,masseur
el cirujano,surgeon
tercera,third
llevar,to take
desconocido,unknown
la verdad,fact
la verdad,truth
la verdad,right
igualmente,likewise
igualmente,the same to you
igualmente,equally
responder,to respond to
responder,to answer
el alumno,pupil
el alumno,student
utilizar,to use
utilizar,to utilize
la negrita,bold
la negrita,bold type
propio,own
señalar,to show
¿Cómo estás?,How are you?
la despedida,farewell
la despedida,goodbye
saber,to know
correspondiente,corresponding
la pareja,partner
la pareja,couple
formar,to form
formar,to make
el resto,rest
buscar,to look for
el compañero,partner
el compañero,companion
segundo,second
primer,first
alguno,some
alguno,someone
según,depending on
según,according to
hablar,to talk
hablar,to speak
debajo,underneath
repetir,to repeat
repetir,to do again
la letra,letter
nuevo,new
la unidad,unit
deletrear,to spell
la frase,phrase
la frase,sentence
el cuadro,painting
el cuadro,picture
colocar,to put
colocar,to place
fijar,to fix
la respuesta,response
comprobar,to prove
comprobar,to check
escuchar,to listen to
la abreviatura,abbreviation
el signo,mark
el signo,sign
la ortografía,orthography
la ortografía,spelling
interrogativo,interrogative
el sujeto,subject
relacionar,to relate
relacionar,to connect
la supervivencia,survival
breve,brief
la repetición,repeat
la repetición,repetition
la aclaración,clarification
la aclaración,explanation
algo,something
previo,preliminary
previo,previous
previo,prior
pedir,to order
pedir,to ask for
alguien,somebody
alguien,someone
dirigirse,to address
dirigirse,to walk
presentar,to introduce
despedirse,to say goodbye
